[2024-11-01 20:42:09,536: INFO: main: Welcome to out custom log]
[2024-11-02 00:31:55,252: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-11-02 00:31:55,254: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-02 00:31:55,255: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-02 00:31:55,255: INFO: common: created directory at: artifacts]
[2024-11-02 00:31:55,256: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-02 00:31:55,256: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1ev2o6wQR73bHnzEFCm7F3S_5cAYjANh_/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-02 00:35:11,147: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1ev2o6wQR73bHnzEFCm7F3S_5cAYjANh_/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-02 00:36:00,043: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-11-02 02:07:58,140: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-02 02:07:58,163: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-02 02:07:58,165: INFO: common: created directory at: artifacts]
[2024-11-02 02:11:08,519: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-02 02:11:08,522: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-02 02:11:08,522: INFO: common: created directory at: artifacts]
[2024-11-02 02:15:21,093: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-02 02:15:21,095: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-02 02:15:21,097: INFO: common: created directory at: artifacts]
[2024-11-02 02:18:33,375: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-02 02:18:33,378: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-02 02:18:33,379: INFO: common: created directory at: artifacts]
[2024-11-02 02:18:38,419: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-02 02:18:38,422: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-02 02:18:38,423: INFO: common: created directory at: artifacts]
[2024-11-02 02:18:42,901: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-02 02:18:42,904: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-02 02:18:42,906: INFO: common: created directory at: artifacts]
[2024-11-02 02:20:07,660: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-02 02:20:07,662: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-02 02:20:07,663: INFO: common: created directory at: artifacts]
[2024-11-02 02:20:07,664: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-11-02 02:20:16,628: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-11-02 02:31:01,288: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-11-02 02:31:01,290: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-02 02:31:01,292: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-02 02:31:01,292: INFO: common: created directory at: artifacts]
[2024-11-02 02:31:01,293: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-02 02:31:01,293: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1ev2o6wQR73bHnzEFCm7F3S_5cAYjANh_/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-02 02:34:13,125: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1ev2o6wQR73bHnzEFCm7F3S_5cAYjANh_/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-02 02:35:05,548: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-11-02 02:35:05,548: INFO: main: *******************]
[2024-11-02 02:35:05,548: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-11-02 02:35:05,551: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-02 02:35:05,552: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-02 02:35:05,554: INFO: common: created directory at: artifacts]
[2024-11-02 02:35:05,554: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-11-02 02:35:06,020: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-11-02 02:35:06,343: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
